"Owners","LicenseNumber","BusinessName","Status","IssueDate","RenewDate","ExpireDate","HasTelemedicine","PhysicalCity","PhysicalCountry","PhysicalLine1","PhysicalLine2","PhysicalState","PhysicalZip","PhysicalZipPlus","MailingCity","MailingCountry","MailingLine1","MailingLine2","MailingState","MailingZip","MailingZipPlus"
"A AND A ROOFING CO, INC.",5,"A & A ROOFING CO, INC","Active",7/15/1969,10/9/2024,12/31/2026,"No","FAIRBANKS","UNITED STATES","925 ASPEN ST.",,"AK","99709",,"FAIRBANKS","UNITED STATES","P O BOX 70314",,"AK","99707",
"ELAINE S. BAKER & ASSOCIATES, INC.",34,"ELAINE S. BAKER & ASSOCIATES, INC.","Active",12/28/1990,4/30/2025,12/31/2026,"No","ANCHORAGE","UNITED STATES","811 W 8th Avenue",,"AK","99501",,"ANCHORAGE","UNITED STATES","811 W 8th Avenue",,"AK","99501",
"DON ABEL BUILDING SUPPLIES, INC.",44,"DON ABEL BUILDING SUPPLIES, INC.","Active",12/27/1990,11/5/2024,12/31/2026,"No","JUNEAU","UNITED STATES","9999 GLACIER HIGHWAY",,"AK","99801",,"JUNEAU","UNITED STATES","9999 GLACIER HIGHWAY",,"AK","99801",
"ALASKA AIRLINES, INC.",173,"ALASKA AIRLINES, INC.","Active",1/3/1991,11/22/2024,12/31/2026,"No","SEATTLE","UNITED STATES","19300 INTERNATIONAL BLVD",,"WA","98188",,"SEATTLE","UNITED STATES","PO BOX 68900","ATTN:LICENSING-SEAZL","WA","98168",
"ALASKA FLOR-WALL, INC.",237,"ALASKA FLOR-WALL, INC.","Active",1/3/1991,11/5/2025,12/31/2027,"No","Anchorage","UNITED STATES","4047 San Ernesto Apt 1","9073332850","AK","99508","2806","ANCHORAGE","UNITED STATES","4047 SAN ERNESTO AVE APT 1",,"AK","99508","2806"
"ALASKA INDUSTRIAL HARDWARE, INC.",257,"ALASKA INDUSTRIAL HARDWARE, INC","Active",1/3/1991,12/3/2025,12/31/2027,"No","ANCHORAGE","UNITED STATES","8801 Old Seward Highway",,"AK","99515","2021","ANCHORAGE","UNITED STATES","8801 Old Seward Highway",,"AK","99515","2021"
"ALASKA LANDS INC",265,"ALASKA LANDS INC","Active",1/7/1991,10/5/2025,12/31/2026,"No","Homer","UNITED STATES","4621 West Hill Road","9072990570","AK","99603",,"HOMER","UNITED STATES","4621 WEST HILL ROAD",,"AK","99603",
"ALASKA RENT A CAR INC",316,"AVIS RENT A CAR","Active",12/3/1990,11/6/2024,12/31/2026,"No","ANCHORAGE","UNITED STATES","4900 S AIRCRAFT DRIVE",,"AK","99502",,"ANCHORAGE","UNITED STATES","4900 S AIRCRAFT DRIVE",,"AK","99502",
" ALASKA SAUSAGE COMPANY, INC.",322," ALASKA SAUSAGE COMPANY, INC.","Active",12/17/1990,12/12/2024,12/31/2026,"No","ANCHORAGE","UNITED STATES","2914 ARCTIC BLVD",,"AK","99503",,"ANCHORAGE","UNITED STATES","PO BOX 92157",,"AK","99509",
"ALASKA VILLAGE ELECTRIC COOPERATIVE, INC",355,"ALASKA VILLAGE ELECTRIC COOPERATIVE, INC","Active",12/7/1990,10/8/2025,12/31/2027,"No","AK","UNITED STATES","4831 EAGLE ST",,"AK","99503",,"ANCHORAGE","UNITED STATES","4831 EAGLE ST",,"AK","99503",
"COOK INLET HOUSING DEVELOPMENT CORPORATION",363,"COOK INLET HOUSING DEVELOPMENT CORPORATION","Active",12/19/1990,11/13/2025,12/31/2027,"No","ANCHORAGE","UNITED STATES","3510 SPENARD RD, STE 100","9077933000","AK","99503",,"ANCHORAGE","UNITED STATES","3510 SPENARD RD, STE 100","9077933000","AK","99503",
"ALASKA LAUNDRY, INC.",401,"ALASKA LAUNDRY, INC.","Active",1/2/1991,3/19/2025,12/31/2026,"No","Juneau","UNITED STATES","1114 Glacier Ave.",,"AK","99801",,"JUNEAU","UNITED STATES","1114 GLACIER AVENUE",,"AK","99801",
"PERFORMANCE CONTRACTING INC",442,"PERFORMANCE CONTRACTING INC","Active",2/6/1990,11/11/2025,12/31/2027,"No","LENEXA","UNITED STATES","11145 THOMPSON AVE.",,"KS","66219","2302","LENEXA","UNITED STATES","11145 THOMPSON AVE.",,"KS","66219","2302"
"J & N ENTERPRISES, INCORPORATED",527,"J & N ENTERPRISES, INCORPORATED","Active",1/14/1991,10/15/2025,12/31/2027,"No","CORDOVA","UNITED STATES","1600 WHITESHED RD",,"AK","99574",,"CORDOVA","UNITED STATES","PO BOX 1229",,"AK","99574",
"AMERICAN LEGION POST #5, THE AMERICAN LEGION, DEPARTMENT OF ALASKA, INCORPORATED",531,"AMERICAN LEGION POST #5","Active",12/21/1990,10/22/2024,12/31/2026,"No","Seward","UNITED STATES","402 Fifth Ave",,"AK","99664",,"SEWARD","UNITED STATES","PO BOX 306",,"AK","99664",
"THE AMERICAN LEGION, DORMAN H BAKER POST NO. 11",549,"AMERICAN LEGION POST 11","Active",11/4/1996,12/29/2024,12/31/2026,"No","FAIRBANKS","UNITED STATES","129 FIRST AVE",,"AK","99701",,"FAIRBANKS","UNITED STATES","129 FIRST AVE",,"AK","99701",
"MISSIONARY AVIATION REPAIR CENTER",563,"MISSIONARY AVIATION REPAIR CENTER (MARC)","Active",12/15/1989,10/6/2025,12/31/2027,"No","Soldotna","UNITED STATES","595 Funny River Drive","9072625388","AK","99669",,"SOLDOTNA","UNITED STATES","595 FUNNY RIVER RD","9072625388","AK","99669","0511"
"ANCHORAGE CHRYSLER CENTER, INC.",580,"ANCHORAGE CHRYSLER CENTER, INC","Active",1/18/1991,10/21/2025,12/31/2027,"No","ANCHORAGE","UNITED STATES","2601 EAST 5TH AVENUE",,"AK","99501",,"ANCHORAGE","UNITED STATES","2601 EAST 5TH AVENUE",,"AK","99501",
"ANCHORAGE SAND AND GRAVEL COMPANY INC",595,"ANCHORAGE SAND AND GRAVEL COMPANY INC","Active",11/15/1996,12/4/2024,12/31/2026,"No","ANCHORAGE","UNITED STATES","1040 O'MALLEY ROAD",,"AK","99515",,"ANCHORAGE","UNITED STATES","1040 O'MALLEY ROAD",,"AK","99515",
"ORCA OIL CO., INC.",662,"ORCA OIL CO., INC","Active",12/15/1989,10/20/2024,12/31/2026,"No","cordova","UNITED STATES","701 first street","p,o, box 1130  cordova, alaska 995","AK","99574",,"CORDOVA","UNITED STATES","PO BOX 1130",,"AK","99574","0910"
"ARCTIC OFFICE MACHINE, INC.",738,"ARCTIC OFFICE MACHINE, INC.","Active",12/12/1990,12/31/2024,12/31/2026,"No","ANCHORAGE","UNITED STATES","100 W FIREWEED",,"AK","99503",,"ANCHORAGE","UNITED STATES","PO BOX 100083",,"AK","99510",
"LINDA  SCHROEDER; N  SCHLEE;",875,"LASERTECH ALASKA","Active",11/12/1999,1/6/2026,12/31/2027,"No","Anchorage","UNITED STATES","401 W International Airport Road","Unit 18","AK","99518",,"ANCHORAGE","UNITED STATES","PO BOX 111694",,"AK","99511","1694"
"ELKS BPO 1615 PETERSBURG",980,"ELKS BPO 1615 PETERSBURG","Active",1/11/1991,10/11/2025,12/31/2027,"No","PETERSBURG","UNITED STATES","301 North First Street",,"AK","99833",,"PETERSBURG","UNITED STATES","PO BOX 609",,"AK","99833",
"GOLDEN VALLEY ELECTRIC ASSOCIATION, INC.",1124,"GOLDEN VALLEY ELECTRIC ASSOCIATION, INC.","Active",12/26/1990,10/14/2025,12/31/2026,"No","Fairbanks","UNITED STATES","758 Illinois Street",,"AK","99701",,"FAIRBANKS","UNITED STATES","PO BOX 71249",,"AK","99707",
